ID,Sentence,Label,Prep_sentence,Stemmed_sentence
24,"The objectives of study CT-P10 3.3 were to demonstrate similarity in pharmacokinetics and non-inferiority in efficacy of CT-P10 to Rituxan as primary endpoints when coadministered with CVP in patients with advanced FL; these objectives have been met and furthermore, extrapolation in the context of NHL and CLL indications is acceptable.",0,objectives study ct demonstrate similarity pharmacokinetics non inferiority efficacy ct rituxan primary endpoints coadministered cvp patients advanced fl objectives met furthermore extrapolation context nhl cll indications acceptable,object studi ct demonstr similar pharmacokinet non inferior efficaci ct rituxan primari endpoint coadminist cvp patient advanc fl object met furthermor extrapol context nhl cll indic accept
25,The overall safety profile of CT-P10 appeared roughly similar to that of the reference product although the pooled incidences of AEs and SAEs were generally lower for the reference products.,1,overall safety profile ct appeared roughly similar reference product although pooled incidences aes saes generally lower reference products,overal safeti profil ct appear roughli similar refer product although pool incid ae sae gener lower refer product
26,"Therefore, the available safety data are considered supportive of biosimilarity between CT-P10 and MabThera.",0,therefore available safety data considered supportive biosimilarity ct mabthera,therefor avail safeti data consid support biosimilar ct mabthera
27,"Most common reported events were infections, infusion related reactions.",1,common reported events infections infusion related reactions,common report event infect infus relat reaction
28,The frequencies and nature of the adverse events were in line with those reported for the innovator MabThera/Rituxan in the RA and NLH study populations.,0,frequencies nature adverse events line reported innovator mabthera rituxan ra nlh study populations,frequenc natur advers event line report innov mabthera rituxan ra nlh studi popul
29,"Although dataset of AFL patients has been updated, data are still considered very limited to reach firm conclusion about safety proflie.",2,although dataset afl patients updated data still considered limited reach firm conclusion safety proflie,although dataset afl patient updat data still consid limit reach firm conclus safeti profli
30,Additional safety data from maintenance study period CT-P10 3.3 and follow-up period should be provided (see RMP).,2,additional safety data maintenance study period ct follow period provided see rmp,addit safeti data mainten studi period ct follow period provid see rmp
31,The planned extension studies CT-P10 3.2 (RA) CT-P10 3.3 (AFL) and CT-P10 3.4 (LTBFL) listed in the RMP will provide additional long term safety data.,1,planned extension studies ct ra ct afl ct ltbfl listed rmp provide additional long term safety data,plan extens studi ct ra ct afl ct ltbfl list rmp provid addit long term safeti data
32,A summary of the literature with regard to clinical data of Daptomycin Hospira and justifications that the product is essentially similar in properties with regards to safety and efficacy of the reference product was provided and was accepted by the CHMP.,0,summary literature regard clinical data daptomycin hospira justifications product essentially similar properties regards safety efficacy reference product provided accepted chmp,summari literatur regard clinic data daptomycin hospira justif product essenti similar properti regard safeti efficaci refer product provid accept chmp
33,This is in accordance with the relevant guideline and additional clinical studies were not considered necessary.,0,accordance relevant guideline additional clinical studies considered necessary,accord relev guidelin addit clinic studi consid necessari
34,The superiority to placebo was demonstrated for both dupilumab doses as monotherapy or in combination with TCS in AD patients who are insufficiently controlled with topical therapies alone.,0,superiority placebo demonstrated dupilumab doses monotherapy combination tcs ad patients insufficiently controlled topical therapies alone,superior placebo demonstr dupilumab dose monotherapi combin tc ad patient insuffici control topic therapi alon
35,No significant additional benefit was observed with weekly dosing versus Q2W dosing (300 mg s.c) in the overall population.,1,significant additional benefit observed weekly dosing versus dosing mg sc overall population,signific addit benefit observ weekli dose versu dose mg sc overal popul
36,"Therefore, the CHMP endorsed the proposed dose of 300 mg every other week (Q2W) with a loading dose of 600 mg on day 1.",1,therefore chmp endorsed proposed dose mg every week loading dose mg day,therefor chmp endors propos dose mg everi week load dose mg day
37,"Based on the presented and available data, dupilumab has been found to have an acceptable safety profile.",0,based presented available data dupilumab found acceptable safety profile,base present avail data dupilumab found accept safeti profil
38,"With regard to TEAE profile, no meaningful qualitative and quantitative differences were seen as to short-term and long-term treatment as well as to the dose regimen.",1,regard teae profile meaningful qualitative quantitative differences seen short term long term treatment well dose regimen,regard teae profil meaning qualit quantit differ seen short term long term treatment well dose regimen
39,"As questions still remain on the long term safety, ongoing open-label extension studies are being undertaken that will provide further data.",2,questions still remain long term safety ongoing open label extension studies undertaken provide data,question still remain long term safeti ongo open label extens studi undertaken provid data
40,The applicant provided six pivotal studies to support this application.,1,applicant provided six pivotal studies support application,applic provid six pivot studi support applic
41,"Only 3 pivotal randomized double-blind multicentre placebo controlled studies (Parsons and Mulholland 1987, Mulholland et al 1990 and Parsons et al 1993) among the 6 pivotal studies met their primary endpoint “GRA” and some secondary endpoints such as pain.",2,pivotal randomized double blind multicentre placebo controlled studies parsons mulholland mulholland et al parsons et al among pivotal studies met primary endpoint gra secondary endpoints pain,pivot random doubl blind multicentr placebo control studi parson mulholland mulholland et al parson et al among pivot studi met primari endpoint gra secondari endpoint pain
42,"Based on the primary meta-analysis conducted by the applicant including the six pivotal studies, the estimated benefit differences reached about 13% (ITT and as reported).",1,based primary meta analysis conducted applicant including six pivotal studies estimated benefit differences reached itt reported,base primari meta analysi conduct applic includ six pivot studi estim benefit differ reach itt report
43,This benefit difference (PPS versus placebo) reached 17% when excluding 2 pivotal studies (Holm-Bentzen et al 1987 and Nickel et al 2015) with the lowest response rates and with a population less homogeneous than in the four other clinical studies (mixing both broad IC/BPS),1,benefit difference pps versus placebo reached excluding pivotal studies holm bentzen et al nickel et al lowest response rates population less homogeneous four clinical studies mixing broad ic bps,benefit differ pp versu placebo reach exclud pivot studi holm bentzen et al nickel et al lowest respons rate popul less homogen four clinic studi mix broad ic bp
44,"Indeed, this benefit difference was mainly driven by the statistically significant results of the three pivotal studies Parsons et al 1993, Mulholland et al 1990 and Parsons and Mulholland 1987 including patients falling within ESSIC classification 2X to 3C.",1,indeed benefit difference mainly driven statistically significant results three pivotal studies parsons et al mulholland et al parsons mulholland including patients falling within essic classification,inde benefit differ mainli driven statist signific result three pivot studi parson et al mulholland et al parson mulholland includ patient fall within essic classif
45,Furthermore according to the meta-analysis of the four pivotal studies performed in patients meeting the ESSIC classification 2X to 3C the pooled response rate under PPS treatment was 2-fold higher than the pooled response rate under placebo (“GRA” primary endpoint and also pain and urgency)and efficacy of PPS was considered sufficiently demonstrated in this population,0,furthermore according meta analysis four pivotal studies performed patients meeting essic classification pooled response rate pps treatment fold higher pooled response rate placebo gra primary endpoint also pain urgencyand efficacy pps considered sufficiently demonstrated population,furthermor accord meta analysi four pivot studi perform patient meet essic classif pool respons rate pp treatment fold higher pool respons rate placebo gra primari endpoint also pain urgencyand efficaci pp consid suffici demonstr popul
46,"Overall, the safety profile of PPS is not considered of concern.",0,overall safety profile pps considered concern,overal safeti profil pp consid concern
47,"Due to the heparin-like structure of PPS, a weak anticoagulant effect was observed with PPS and patients with risk factors for increased bleeding (undergoing invasive procedures, having underlying coagulopathy or taking anticoagulants) should be carefully evaluated for haemorrhage during the treatment.",2,due heparin like structure pps weak anticoagulant effect observed pps patients risk factors increased bleeding undergoing invasive procedures underlying coagulopathy taking anticoagulants carefully evaluated haemorrhage treatment,due heparin like structur pp weak anticoagul effect observ pp patient risk factor increas bleed undergo invas procedur underli coagulopathi take anticoagul care evalu haemorrhag treatment
48,This risk is adequately addressed in various sections of the SmPC and as important identified risk in the RMP.,0,risk adequately addressed various sections smpc important identified risk rmp,risk adequ address variou section smpc import identifi risk rmp
49,Based on the presented bioequivalence study the test formulation Emtricitabine/Tenofovir disoproxil Krka d.d. 200mg/245mg film coated tablets of Krka d.d. Slovenia is considered bioequivalent with the reference Truvada 200mg/245mg film coated tablets manufactured by Gilead Sciences Intl. Ltd. Ireland MA holder: Gilead Sciences UK.,0,based presented bioequivalence study test formulation emtricitabine tenofovir disoproxil krka dd film coated tablets krka dd slovenia considered bioequivalent reference truvada film coated tablets manufactured gilead sciences intl ltd ireland holder gilead sciences uk,base present bioequival studi test formul emtricitabin tenofovir disoproxil krka dd film coat tablet krka dd slovenia consid bioequival refer truvada film coat tablet manufactur gilead scienc intl ltd ireland holder gilead scienc uk
50,The application contains an adequate review of published clinical data and the bioequivalence has been shown between Granpidam and Viagra® 100 mg film-coated tablets.,0,application contains adequate review published clinical data bioequivalence shown granpidam mg film coated tablets,applic contain adequ review publish clinic data bioequival shown granpidam mg film coat tablet
51,A biowaiver for the 20 mg strength is considered acceptable.,0,biowaiver mg strength considered acceptable,biowaiv mg strength consid accept
52,Based on the presented bioequivalence study Granpidam is considered bioequivalent with Viagra (reference product used).,0,based presented bioequivalence study granpidam considered bioequivalent viagra reference product used,base present bioequival studi granpidam consid bioequival viagra refer product use
53,"The results of study 084-09 with 100mg formulation can be extrapolated to other strengths 20mg, according to conditions in the Guidelines.",0,results study formulation extrapolated strengths according conditions guidelines,result studi formul extrapol strength accord condit guidelin
54,The results presented on efficacy support the biosimilarity claim between the test product SB5 and the reference product EU Humira.,0,results presented efficacy support biosimilarity claim test product reference product eu humira,result present efficaci support biosimilar claim test product refer product eu humira
55,The number of subjects is sufficient for comparing the safety profile of the biosimilar candidate SB5 and reference medicinal product EU-Humira and studying the safety of a biosimilar product for up to one year.,0,number subjects sufficient comparing safety profile biosimilar candidate reference medicinal product eu humira studying safety biosimilar product one year,number subject suffici compar safeti profil biosimilar candid refer medicin product eu humira studi safeti biosimilar product one year
56,"Broadly, the number, severity and type of TEAEs, SAEs, AEs of special interest, treatment discontinuations due to AEs, laboratory findings were comparable between SB5 and Humira and mirroring the safety profile as described in the SmPC of Humira.",0,broadly number severity type teaes saes aes special interest treatment discontinuations due aes laboratory findings comparable humira mirroring safety profile described smpc humira,broadli number sever type teae sae ae special interest treatment discontinu due ae laboratori find compar humira mirror safeti profil describ smpc humira
57,"The frequency of related AEs, severity of AEs and AESIs remained similar for the group who transitioned from Humira to SB5 at week 24.",0,frequency related aes severity aes aesis remained similar group transitioned humira week,frequenc relat ae sever ae aesi remain similar group transit humira week
58,"More detailed data on injection site reactions, hypersensitivity and anaphylactic reactions were requested in order to allow a thorough assessment of this issue both in subjects with and without ADAs.",2,detailed data injection site reactions hypersensitivity anaphylactic reactions requested order allow thorough assessment issue subjects without adas,detail data inject site reaction hypersensit anaphylact reaction request order allow thorough assess issu subject without ada
59,The submitted additional analyses further support the comparability of the safety profile of SB5 and Humira.,0,submitted additional analyses support comparability safety profile humira,submit addit analys support compar safeti profil humira
60,"With regard to immunogenicity, the incidence and titre distribution of ADAs were compared and seemed similar for SB5 and Humira, with about half of all subjects developing neutralising antibodies in each treatment group.",0,regard immunogenicity incidence titre distribution adas compared seemed similar humira half subjects developing neutralising antibodies treatment group,regard immunogen incid titr distribut ada compar seem similar humira half subject develop neutralis antibodi treatment group
61,No worsening of the immunogenicity profile was observed after transitioning from Humira to SB5.,0,worsening immunogenicity profile observed transitioning humira,worsen immunogen profil observ transit humira
62,There was no clinical efficacy study performed to support the biosimilarity claim.,1,clinical efficacy study performed support biosimilarity claim,clinic efficaci studi perform support biosimilar claim
63,"In light of established biosimilarity on quality level, the remaining uncertainty that the safety profile of Inhixa and Clexane differs significantly was considered low enough to conclude on similarity.",0,light established biosimilarity quality level remaining uncertainty safety profile inhixa clexane differs significantly considered low enough conclude similarity,light establish biosimilar qualiti level remain uncertainti safeti profil inhixa clexan differ significantli consid low enough conclud similar
64,"For the purpose of the clinical biosimilarity exercise for biosimilar insulin products, the evaluation of HbA1c is not a sensitive endpoint and therefore efficacy studies evaluating HbA1c are not requested (EMEA/CHMP/BMWP/32775/2005_Rev.",1,purpose clinical biosimilarity exercise biosimilar insulin products evaluation sensitive endpoint therefore efficacy studies evaluating requested emea chmp bmwp,purpos clinic biosimilar exercis biosimilar insulin product evalu sensit endpoint therefor efficaci studi evalu request emea chmp bmwp
65,"1).Nevertheless, the applicant has conducted two large efficacy and safety (phase III) non-inferiority studies comparing the test and reference products in order to investigate how PK/PD features of the biosimilar candidate product translate into clinical parameters relevant for the management of patients with Type 1 and 2 DM.",1,applicant conducted two large efficacy safety phase iii non inferiority studies comparing test reference products order investigate pk pd features biosimilar candidate product translate clinical parameters relevant management patients type dm,applic conduct two larg efficaci safeti phase iii non inferior studi compar test refer product order investig pk pd featur biosimilar candid product translat clinic paramet relev manag patient type dm
66,This data is considered supportive in establishing biosimilarity.,0,data considered supportive establishing biosimilarity,data consid support establish biosimilar
67,"Both studies, demonstrated that SAR342434 is non-inferior to Humalog in improvement of glycaemic control by Week 26 and therefore provided strong supportive evidence about the comparability/ biosimilarity of the two products.",0,studies demonstrated non inferior humalog improvement glycaemic control week therefore provided strong supportive evidence comparability biosimilarity two products,studi demonstr non inferior humalog improv glycaem control week therefor provid strong support evid compar biosimilar two product
68,The 12-month results of study EFC12619 further supported similar clinical efficacy of SAR342434 and Humalog in T1DM subjects.,0,month results study supported similar clinical efficacy humalog subjects,month result studi support similar clinic efficaci humalog subject
69,The size of the safety database and duration of exposure is considered appropriate for the evaluation of the general safety profile of Insulin lispro Sanofi.,0,size safety database duration exposure considered appropriate evaluation general safety profile insulin lispro sanofi,size safeti databas durat exposur consid appropri evalu gener safeti profil insulin lispro sanofi
70,Safety and tolerability of Insulin lispro Sanofi and Humalog seem to be comparable and thus support biosimilarity of these two products.,0,safety tolerability insulin lispro sanofi humalog seem comparable thus support biosimilarity two products,safeti toler insulin lispro sanofi humalog seem compar thu support biosimilar two product
71,"With regard to immunogenicity, the differences in the AIA response between SARS342434 and Humalog were small and inconsistent.",2,regard immunogenicity differences aia response humalog small inconsistent,regard immunogen differ aia respons humalog small inconsist
72,Treatment-emergent AIA did not affect efficacy or safety endpoints in either T1DM or T2DM subjects.,0,treatment emergent aia affect efficacy safety endpoints either subjects,treatment emerg aia affect efficaci safeti endpoint either subject
73,"In conclusion, the safety profile of Insulin lispro Sanofi is acceptable and not different to that of Humalog.",0,conclusion safety profile insulin lispro sanofi acceptable different humalog,conclus safeti profil insulin lispro sanofi accept differ humalog
74,"The bioequivalence of the applied product Ivabradine, film-coated tablets, 7.5 mg with the respective strength of the reference product Procoralan film-coated tablets of Les Laboratoires Servier has been demonstrated in one bioequivalence study (study 14-VIN-785).",0,bioequivalence applied product ivabradine film coated tablets mg respective strength reference product procoralan film coated tablets les laboratoires servier demonstrated one bioequivalence study study vin,bioequival appli product ivabradin film coat tablet mg respect strength refer product procoralan film coat tablet le laboratoir servier demonstr one bioequival studi studi vin
75,"The study has been performed under fed conditions, which reflects recommendations in the brand leader’s SPC for the administration of the product.",0,study performed fed conditions reflects recommendations brand leaders spc administration product,studi perform fed condit reflect recommend brand leader spc administr product
76,The sample size was calculated to provide adequate power of bioequivalence analysis.,0,sample size calculated provide adequate power bioequivalence analysis,sampl size calcul provid adequ power bioequival analysi
77,The statistical methodology used in the studies is justified and consistent with the principles of guidelines on the investigation of bioequivalence.,0,statistical methodology used studies justified consistent principles guidelines investigation bioequivalence,statist methodolog use studi justifi consist principl guidelin investig bioequival
78,In accordance with the study protocol the study meets the bioequivalence criteria as 90% confidence intervals for the ln-transformed pharmacokinetic parameters Cmax and AUC0-t for ivabradine is within the acceptance range of 80.00% - 125.00% with power (1-β) 99.45 and 99.99 respectively.,0,accordance study protocol study meets bioequivalence criteria confidence intervals ln transformed pharmacokinetic parameters cmax ivabradine within acceptance range power β respectively,accord studi protocol studi meet bioequival criteria confid interv ln transform pharmacokinet paramet cmax ivabradin within accept rang power β respect
79,The bioequivalence study appears to have been well conducted.,0,bioequivalence study appears well conducted,bioequival studi appear well conduct
80,"An acceptable justification for a biowaiver of Ivabradine Hydrochloride, 5 mg, film-coated tablets has been provided.",0,acceptable justification biowaiver ivabradine hydrochloride mg film coated tablets provided,accept justif biowaiv ivabradin hydrochlorid mg film coat tablet provid
81,"to the EMA Guideline on the Investigation of Bioequivalence (CPMP/EWP/QWP/1401/98 Rev. 1/ Corr **), Ivabradine 5 mg film-coated tablets satisfy the conditions for waiver of bioequivalence studies conducted on the applied product 7.5 mg strength.",0,ema guideline investigation bioequivalence cpmp ewp qwp rev corr ivabradine mg film coated tablets satisfy conditions waiver bioequivalence studies conducted applied product mg strength,ema guidelin investig bioequival cpmp ewp qwp rev corr ivabradin mg film coat tablet satisfi condit waiver bioequival studi conduct appli product mg strength
82,"The efficacy data of the two phase 3 placebo-controlled studies in patients who received background DMARDs showed that both dose regimens of sarilumab (150 mg q2w, 200 mg q2w) were superior to placebo regarding improvement of signs and symptoms (ACR20 responses), of physical function (change from baseline in HAQ-DI) and of progression in structural damage (mTSS, only study EFC11072).",0,efficacy data two phase placebo controlled studies patients received background dmards showed dose regimens sarilumab mg mg superior placebo regarding improvement signs symptoms responses physical function change baseline haq di progression structural damage mtss study,efficaci data two phase placebo control studi patient receiv background dmard show dose regimen sarilumab mg mg superior placebo regard improv sign symptom respons physic function chang baselin haq di progress structur damag mtss studi
83,The active-comparator study demonstrated the efficacy of sarilumab as monotherapy and relative to the biologic DMARD adalimumab.,0,active comparator study demonstrated efficacy sarilumab monotherapy relative biologic dmard adalimumab,activ compar studi demonstr efficaci sarilumab monotherapi rel biolog dmard adalimumab
84,"Overall, data of the submitted studies are considered overall adequate to identify the patient population of the indication.",0,overall data submitted studies considered overall adequate identify patient population indication,overal data submit studi consid overal adequ identifi patient popul indic
85,The safety observation is based on a total of 3354 patients exposed to at least 1 dose of sarilumab for a total of 5981.0 patient-years of exposure.,1,safety observation based total patients exposed least dose sarilumab total patient years exposure,safeti observ base total patient expos least dose sarilumab total patient year exposur
86,"Sarilumab is associated with infections (including serious infections), decrease in ANC and platelet count, and increase in ALT and lipids, all of which are events consistent with the known effect of IL-6 inhibition, and with injection site reactions, consistent with a SC route of administration.",1,sarilumab associated infections including serious infections decrease anc platelet count increase alt lipids events consistent known effect il inhibition injection site reactions consistent sc route administration,sarilumab associ infect includ seriou infect decreas anc platelet count increas alt lipid event consist known effect il inhibit inject site reaction consist sc rout administr
87,No new safety concerns were identified during the development program in the clinical trial population.,0,new safety concerns identified development program clinical trial population,new safeti concern identifi develop program clinic trial popul
88,The efficacy of the combination of lenvatinib with everolimus has been shown.,0,efficacy combination lenvatinib everolimus shown,efficaci combin lenvatinib everolimu shown
89,Lenvatinib/everolimus combination therapy demonstrated improved PFS compared to everolimus monotherapy with a median PFS of 14.6 months vs. 5.5 months.,0,lenvatinib everolimus combination therapy demonstrated improved pfs compared everolimus monotherapy median pfs months vs months,lenvatinib everolimu combin therapi demonstr improv pf compar everolimu monotherapi median pf month vs month
90,Additional sensitivity analyses performed confirmed the robustness of observed PFS.,0,additional sensitivity analyses performed confirmed robustness observed pfs,addit sensit analys perform confirm robust observ pf
91,"Furthermore, encouraging signs of a prolonged OS were seen in patients treated with the combination of lenvatinib and everolimus combination therapy as per the primary analysis as well as the two updated analyses that span a more than 1-year period.",0,furthermore encouraging signs prolonged os seen patients treated combination lenvatinib everolimus combination therapy per primary analysis well two updated analyses span year period,furthermor encourag sign prolong os seen patient treat combin lenvatinib everolimu combin therapi per primari analysi well two updat analys span year period
92,A similar trend towards prolonged OS was also observed in favour of lenvatinib monotherapy but less obvious than with combination therapy.,0,similar trend towards prolonged os also observed favour lenvatinib monotherapy less obvious combination therapy,similar trend toward prolong os also observ favour lenvatinib monotherapi less obviou combin therapi
93,The overall safety profile of lenvatinib-everolimus combination is consistent with known safety profiles of its components observed either in other indications (for lenvatinib) or in the intended indication (for everolimus).,0,overall safety profile lenvatinib everolimus combination consistent known safety profiles components observed either indications lenvatinib intended indication everolimus,overal safeti profil lenvatinib everolimu combin consist known safeti profil compon observ either indic lenvatinib intend indic everolimu
94,The reported toxicity was in general predictable and manageable.,0,reported toxicity general predictable manageable,report toxic gener predict manag
95,No new safety signal has been reported.,0,new safety signal reported,new safeti signal report
96,"However, most of these adverse events were well managed by dose reduction, interruption or by additional medical treatment.",0,however adverse events well managed dose reduction interruption additional medical treatment,howev advers event well manag dose reduct interrupt addit medic treatment
97,"However, precaution is warranted given a small size of safety database, a limited information on long-term toxicity, and a limited data on PK/PD interactions together with indication on potential for worsening toxicity for VEGFRi -mTOR inhibitor combinations in general.",2,however precaution warranted given small size safety database limited information long term toxicity limited data pk pd interactions together indication potential worsening toxicity vegfri mtor inhibitor combinations general,howev precaut warrant given small size safeti databas limit inform long term toxic limit data pk pd interact togeth indic potenti worsen toxic vegfri mtor inhibitor combin gener
98,"Although toxicity appears to be manageable with the intended combination, an onset of more frequent or severe toxicity may occur in a larger database and/or at longer term.",2,although toxicity appears manageable intended combination onset frequent severe toxicity may occur larger database longer term,although toxic appear manag intend combin onset frequent sever toxic may occur larger databas longer term
99,Poor tolerability of the combination is manifest with high rates of discontinuations due to AEs and dose modifications.,2,poor tolerability combination manifest high rates discontinuations due aes dose modifications,poor toler combin manifest high rate discontinu due ae dose modif
100,"Therefore, further studies need to be conducted in relevant clinical setting in order to provide comprehensive data and to improve tolerability profile of the combination in view of a limited safety database for the combination treatment at intended doses/schedule, related uncertainties and poor tolerability of the combination (high rate of treatment discontinuation and dose modifications).",2,therefore studies need conducted relevant clinical setting order provide comprehensive data improve tolerability profile combination view limited safety database combination treatment intended doses schedule related uncertainties poor tolerability combination high rate treatment discontinuation dose modifications,therefor studi need conduct relev clinic set order provid comprehens data improv toler profil combin view limit safeti databas combin treatment intend dose schedul relat uncertainti poor toler combin high rate treatment discontinu dose modif
101,The CHMP considers the following measures necessary to address issues related to safety,2,chmp considers following measures necessary address issues related safety,chmp consid follow measur necessari address issu relat safeti
102,Study 307 is requested to further characterise the safety and tolerability profile of the combination therapy and further contribute to knowledge on PK and PK/PD of lenvatinib and everolimus and their PK and PD interactions.,2,study requested characterise safety tolerability profile combination therapy contribute knowledge pk pk pd lenvatinib everolimus pk pd interactions,studi request characteris safeti toler profil combin therapi contribut knowledg pk pk pd lenvatinib everolimu pk pd interact
103,Study 221 will continue to characterize safety for the combination treatment in patients with non clear cell renal carcinoma.,1,study continue characterize safety combination treatment patients non clear cell renal carcinoma,studi continu character safeti combin treatment patient non clear cell renal carcinoma
104,"Study 010 will assess in vitro lenvatinib protein binding, determine the unbound drug concentrations in order to define correctly the dose-adjustment in patients with severe hepatic and renal impairment.",1,study assess vitro lenvatinib protein binding determine unbound drug concentrations order define correctly dose adjustment patients severe hepatic renal impairment,studi assess vitro lenvatinib protein bind determin unbound drug concentr order defin correctli dose adjust patient sever hepat renal impair
105,Studies requested for Lenvima will also provide relevant safety information for this application,2,studies requested lenvima also provide relevant safety information application,studi request lenvima also provid relev safeti inform applic
106,"Based on the available data, the CHMP considered that all criteria for a BCS-based biowaiver were met. ",0,based available data chmp considered criteria bcs based biowaiver met,base avail data chmp consid criteria bc base biowaiv met
107,"Therefore the absence of a bioequivalence study was considered justified and the CHMP concluded that no clinical data were needed to support the application for Lacosamide Accord 50 mg, 100 mg, 150 mg and 200 mg film-coated tablets as a generic medicinal product to Vimpat.",0,therefore absence bioequivalence study considered justified chmp concluded clinical data needed support application lacosamide accord mg mg mg mg film coated tablets generic medicinal product vimpat,therefor absenc bioequival studi consid justifi chmp conclud clinic data need support applic lacosamid accord mg mg mg mg film coat tablet gener medicin product vimpat
